股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),日内波动幅度,日收益率(%)
601869.SH,2026-06-08,406.0,462.3,406.0,440.3,441.67,-1.37,-0.3102,189113.67,8228761.082,56.30000000000001,-0.3101863382163117
601869.SH,2026-06-09,454.0,484.33,447.1,484.33,440.3,44.03,10.0,173081.72,8097716.96,37.22999999999996,9.999999999999986
601869.SH,2026-06-10,482.0,495.0,445.0,452.69,484.33,-31.64,-6.5327,179845.11,8371310.562,50.0,-6.532735944500645
601869.SH,2026-06-11,443.68,459.96,431.1,442.51,452.69,-10.18,-2.2488,116595.93,5163895.556,28.859999999999957,-2.2487795179924497
601869.SH,2026-06-12,456.51,462.46,432.51,436.5,442.51,-6.01,-1.3582,149070.52,6630991.955,29.94999999999999,-1.358161397482538
601869.SH,2026-06-15,440.0,452.88,421.01,450.3,436.5,13.8,3.1615,146374.52,6454327.333,31.870000000000005,3.16151202749142
601869.SH,2026-06-16,450.31,474.99,447.0,464.1,450.3,13.8,3.0646,150030.29,6973395.676,27.99000000000001,3.0646235842771485
601869.SH,2026-06-17,452.01,464.69,445.38,460.5,464.1,-3.6,-0.7757,133681.18,6095028.482,19.310000000000002,-0.7756948933419605
601869.SH,2026-06-18,455.0,482.58,454.98,471.55,460.5,11.05,2.3996,158951.22,7461804.586,27.599999999999966,2.399565689467975
601869.SH,2026-06-22,494.78,518.71,490.1,518.71,471.55,47.16,10.0011,84660.96,4335875.886,28.610000000000014,10.001060332944544
601869.SH,2026-06-23,555.0,570.58,539.46,570.58,518.71,51.87,9.9998,230562.1,12928875.317,31.120000000000005,9.99980721405025
601869.SH,2026-06-24,558.2,594.0,553.18,580.0,570.58,9.42,1.651,189302.29,10782440.767,40.82000000000005,1.6509516632198684
601869.SH,2026-06-25,598.0,600.0,565.0,575.0,580.0,-5.0,-0.8621,180120.2,10446669.334,35.0,-0.8620689655172376
601869.SH,2026-06-26,565.07,582.0,533.0,543.0,575.0,-32.0,-5.5652,155835.36,8604797.386,49.0,-5.565217391304344
601869.SH,2026-06-29,543.0,549.19,490.0,527.1,543.0,-15.9,-2.9282,142109.34,7409155.682,59.190000000000055,-2.9281767955801064
601869.SH,2026-06-30,540.0,549.9,522.69,545.9,527.1,18.8,3.5667,121728.21,6582570.769,27.209999999999923,3.56668563839877
601869.SH,2026-07-01,535.0,542.87,500.1,508.51,545.9,-37.39,-6.8492,135034.22,7040185.121,42.76999999999998,-6.849239787506867
601869.SH,2026-07-02,480.01,495.5,460.99,464.37,508.51,-44.14,-8.6803,118198.04,5621137.861,34.50999999999999,-8.680261941751388
601869.SH,2026-07-03,460.0,492.0,455.0,475.08,464.37,10.71,2.3064,124670.93,5929147.482,37.0,2.306350539440527
